artist,track,track_id,danceability,energy,key,loudness,tempo,popularity
Coldplay,🪐,1a3G9SNslcKsPAOuIikaxd,0.326,0.322,5.0,-20.192,89.657,59
Coldplay,Higher Power,65OR4ywy8Cgs3FDHK82Idl,0.507,0.832,10.0,-5.931,177.894,70
Coldplay,Humankind,23BO6YozrAXUta1buxFZ80,0.575,0.838,2.0,-6.498,135.006,65
Coldplay,✨,1danObd53GynoY83wRz3Ua,0.0859,0.289,5.0,-17.24,166.784,56
Coldplay,Let Somebody Go,4cGqn0E8JCSY9gQllQj4Mf,0.592,0.342,0.0,-8.93,130.953,75
Coldplay,❤️,3oTYv0yShT4sjuPncoUXfK,0.348,0.0491,4.0,-15.431,136.68,62
Coldplay,People of The Pride,5ophZLHA9mwSZhQSmboyDN,0.432,0.613,4.0,-6.785,136.362,63
Coldplay,Biutyful,2L2mM3rEO3arNIMQnb3dou,0.614,0.68,5.0,-7.84,153.937,64
Coldplay,🌎,0RbekAlUrwR6ZWJdwB3V4y,0.115,0.907,3.0,-20.358,189.885,14
Coldplay,My Universe,46HNZY1i7O6jwTA7Slo2PI,0.573,0.711,1.0,-6.268,105.006,82
Coldplay,♾,2wleRXcIPqltoDPLMH5WDa,0.576,0.896,2.0,-8.994,135.01,59
Coldplay,Coloratura,0jH7gF7KCk2Lom9gimaKms,0.285,0.265,2.0,-10.836,134.055,59
Coldplay,Sunrise,7H4NC6MYkcO91vrXwRQ4N1,0.146,0.216,9.0,-12.302,78.045,22
Coldplay,Church,4nb8OcZG8lpnHi5DmkEnY2,0.449,0.736,11.0,-6.98,123.973,14
Coldplay,Trouble In Town,49YD8pGETf5HUKxouVdq3W,0.595,0.315,2.0,-11.456,96.018,13
Coldplay,BrokEn,0puPjLkM0yGkHcgJ5Cx0Tu,0.55,0.271,5.0,-11.836,130.151,11
Coldplay,Daddy,6s2hGG9yeBypHY9Gf8poVv,0.633,0.18,1.0,-19.54,116.981,24
Coldplay,WOTW / POTP,4OcWgqzJPCxfxhUveVHHFj,0.692,0.294,10.0,-15.483,133.686,10
Coldplay,Arabesque,3O9LthKRLBGvldECecoHYz,0.401,0.834,7.0,-7.727,172.009,21
Coldplay,When I Need A Friend,1z5nCEeGw23FVORtbNYCHG,0.141,0.28,1.0,-18.225,64.501,11
Coldplay,Guns,1N07LKSbSEsrECpw1SVkt8,0.475,0.565,10.0,-8.336,85.25,8
